name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Tallahassee city, Florida",1600000US1270600,193550,107239,105919,818,14361,3557,6548,14613,10835,25943,162358,108293,8419,48721,42031,12,70600,2018,Florida,12_70600,Tallahassee
"Tamarac city, Florida",1600000US1270675,66043,44580,51348,1322,14173,2296,3224,6674,5317,8708,55916,35135,1502,7353,50943,12,70675,2018,Florida,12_70675,Tamarac
"Tampa city, Florida",1600000US1271000,392905,246391,263973,2923,57056,8736,12401,29950,19664,62132,314824,204752,11496,69014,54599,12,71000,2018,Florida,12_71000,Tampa
"The Hammocks CDP, Florida",1600000US1271569,64910,51441,45528,499,13032,615,1649,5249,5125,11322,52685,33276,1654,8113,61966,12,71569,2018,Florida,12_71569,The Hammocks CDP
"The Villages CDP, Florida",1600000US1271625,80576,,,,,,,,,,80200,11152,0,,55906,12,71625,2018,Florida,12_71625,The Villages CDP
"Town 'n' Country CDP, Florida",1600000US1272145,82577,61582,59147,1199,15059,3579,3925,6473,5116,11409,68159,43208,3205,12805,51778,12,72145,2018,Florida,12_72145,Town 'n' Country CDP
"Wellington village, Florida",1600000US1275812,65190,56081,,,,,,,,,49622,32851,1436,4370,98559,12,75812,2018,Florida,12_75812,Wellington village
"Wesley Chapel CDP, Florida",1600000US1275875,65249,47105,43651,564,7650,2223,2254,6404,3929,11192,50551,35457,1122,4597,86885,12,75875,2018,Florida,12_75875,Wesley Chapel CDP
"Weston city, Florida",1600000US1276582,71224,55727,,,,,,,,,50873,31660,1015,6120,105591,12,76582,2018,Florida,12_76582,Weston
"West Palm Beach city, Florida",1600000US1276600,111389,66194,80289,1639,17686,2582,4394,10798,7280,16811,94087,59502,3978,16563,53046,12,76600,2018,Florida,12_76600,West Palm Beach
"Albany city, Georgia",1600000US1301052,71646,14341,43285,429,9020,2777,3064,6904,3369,4390,56568,32571,3931,21506,35575,13,01052,2018,Georgia,13_01052,Albany
"Alpharetta city, Georgia",1600000US1301696,66263,,,,,,,,,,50039,34821,1036,3185,110171,13,01696,2018,Georgia,13_01696,Alpharetta
"Athens-Clarke County unified government (balance), Georgia",1600000US1303440,126000,79583,69839,563,11280,3263,4136,8403,3755,15591,107171,62724,3325,31942,42053,13,03440,2018,Georgia,13_03440,Athens-Clarke County unified government (balance)
"Atlanta city, Georgia",1600000US1304000,498073,203515,336499,2127,58116,8702,10831,35023,17241,99711,414891,272562,15412,93612,65345,13,04000,2018,Georgia,13_04000,Atlanta
"Augusta-Richmond County consolidated government (balance), Georgia",1600000US1304204,196138,70382,129200,1128,31346,9478,7591,20723,11816,17768,156635,95838,6795,37791,39497,13,04204,2018,Georgia,13_04204,Augusta-Richmond County consolidated government (balance)
"Columbus city, Georgia",1600000US1319000,194160,83257,126892,1271,25288,9254,9900,24898,10354,17557,150923,89569,8382,37726,47288,13,19000,2018,Georgia,13_19000,Columbus
"Johns Creek city, Georgia",1600000US1342425,84292,44974,,,,,,,,,65955,44148,765,1483,121848,13,42425,2018,Georgia,13_42425,Johns Creek
"Macon-Bibb County, Georgia",1600000US1349008,153095,61370,99938,2383,23153,5305,3873,18722,8842,15259,120473,70068,6032,36436,40495,13,49008,2018,Georgia,13_49008,Macon-Bibb County
"Roswell city, Georgia",1600000US1367284,94648,74797,,,,,,,,,75625,52775,925,3249,108616,13,67284,2018,Georgia,13_67284,Roswell
"Sandy Springs city, Georgia",1600000US1368516,108798,76021,,,,,,,,,90008,64926,1384,5881,75064,13,68516,2018,Georgia,13_68516,Sandy Springs
"Savannah city, Georgia",1600000US1369000,145852,60547,92774,652,21956,5381,5679,17393,4992,15454,115844,74041,6034,28168,44723,13,69000,2018,Georgia,13_69000,Savannah
"South Fulton city, Georgia",1600000US1372122,97266,,71072,359,19340,1612,1707,10384,7705,15590,82353,55029,3310,5378,68823,13,72122,2018,Georgia,13_72122,South Fulton
"Warner Robins city, Georgia",1600000US1380508,75413,,,,,,,,,,60629,40950,2733,6953,53029,13,80508,2018,Georgia,13_80508,Warner Robins
"Urban Honolulu CDP, Hawaii",1600000US1571550,347403,58248,255138,6454,55801,4670,12966,30142,28516,59390,291508,191009,7477,32557,71247,15,71550,2018,Hawaii,15_71550,Urban Honolulu CDP
"Boise City city, Idaho",1600000US1608830,228807,201557,159616,837,27823,8694,10593,23581,15021,45519,188722,125754,4181,28402,56681,16,08830,2018,Idaho,16_08830,Boise City
"Meridian city, Idaho",1600000US1652120,106794,95137,,,,,,,,,79264,57627,2643,7086,77359,16,52120,2018,Idaho,16_52120,Meridian
"Nampa city, Idaho",1600000US1656260,96245,79917,59999,610,15349,3867,5542,9894,5370,6146,73160,45509,2603,12036,47997,16,56260,2018,Idaho,16_56260,Nampa
"Arlington Heights village, Illinois",1600000US1702154,77259,62939,,,,,,,,,63796,43071,1155,2824,90697,17,02154,2018,Illinois,17_02154,Arlington Heights village
"Aurora city, Illinois",1600000US1703012,206389,133728,126595,3206,25956,5456,8832,14735,7853,21919,154409,112960,5312,23789,69463,17,03012,2018,Illinois,17_03012,Aurora
"Bloomington city, Illinois",1600000US1706613,77955,60525,51844,255,10248,1769,2550,7439,3469,14475,61577,41148,1716,8178,67179,17,06613,2018,Illinois,17_06613,Bloomington
"Bolingbrook village, Illinois",1600000US1707133,74224,38136,48258,1586,10297,1107,2999,5935,4427,11360,57203,42093,1531,4514,82721,17,07133,2018,Illinois,17_07133,Bolingbrook village
"Champaign city, Illinois",1600000US1712385,88033,53772,46369,549,7255,1638,2760,5609,3894,9521,73182,43917,2780,19823,50648,17,12385,2018,Illinois,17_12385,Champaign
"Chicago city, Illinois",1600000US1714000,2705988,1389965,1890710,37462,391547,55462,82151,244622,104920,434378,2215495,1491109,121300,461399,57238,17,14000,2018,Illinois,17_14000,Chicago
"Cicero town, Illinois",1600000US1714351,81602,28614,49307,2306,17087,1315,1992,7012,2492,3889,61464,40534,1243,10495,53246,17,14351,2018,Illinois,17_14351,Cicero town
"Decatur city, Illinois",1600000US1718823,71860,50693,50286,219,14062,4574,4510,7741,3767,6004,58328,34750,2656,13823,43042,17,18823,2018,Illinois,17_18823,Decatur
"Elgin city, Illinois",1600000US1723074,110893,73607,72775,2022,15187,2646,5066,10785,6040,10857,86906,58151,3050,11005,67042,17,23074,2018,Illinois,17_23074,Elgin
"Evanston city, Illinois",1600000US1724582,74110,49612,46692,579,4098,942,1101,4177,1607,13270,59990,38396,1466,8048,82470,17,24582,2018,Illinois,17_24582,Evanston
"Joliet city, Illinois",1600000US1738570,149356,99248,92616,1787,22291,5546,6612,16089,7008,14675,111685,81306,5258,15973,75818,17,38570,2018,Illinois,17_38570,Joliet
"Naperville city, Illinois",1600000US1751622,147823,107198,97069,980,7680,1485,3699,8327,7223,39040,115165,78204,3238,5431,123936,17,51622,2018,Illinois,17_51622,Naperville
"Palatine village, Illinois",1600000US1757225,68017,45144,47889,572,8164,736,2381,5690,3684,14568,52213,38636,1228,6178,75243,17,57225,2018,Illinois,17_57225,Palatine village
"Peoria city, Illinois",1600000US1759000,115720,70808,74846,727,15478,2224,5949,10821,6919,16598,90091,55694,3524,22746,56454,17,59000,2018,Illinois,17_59000,Peoria
"Rockford city, Illinois",1600000US1765000,147676,101802,99617,1056,25567,7593,10021,14174,7902,12409,115830,72520,5874,34536,42489,17,65000,2018,Illinois,17_65000,Rockford
"Schaumburg village, Illinois",1600000US1768003,73970,44204,,,,,,,,,56501,40675,1262,3435,84146,17,68003,2018,Illinois,17_68003,Schaumburg village
"Skokie village, Illinois",1600000US1770122,63292,32746,44397,1241,5185,730,2713,4783,2981,15157,50336,30501,1490,4396,67487,17,70122,2018,Illinois,17_70122,Skokie village
"Springfield city, Illinois",1600000US1772000,114512,82517,78831,347,18202,3451,7227,9470,6235,16033,92856,58954,4398,20070,51142,17,72000,2018,Illinois,17_72000,Springfield
"Waukegan city, Illinois",1600000US1779293,82934,32526,50534,2071,14498,2614,3159,5393,2260,5770,62858,41589,2541,12850,46220,17,79293,2018,Illinois,17_79293,Waukegan
"Bloomington city, Indiana",1600000US1805860,86522,69643,,,,,,,,,77919,45354,3062,24129,36454,18,05860,2018,Indiana,18_05860,Bloomington
"Carmel city, Indiana",1600000US1810342,95767,78463,,,,,,,,,74689,54115,1242,2123,125168,18,10342,2018,Indiana,18_10342,Carmel
"Evansville city, Indiana",1600000US1822000,117967,92986,81795,236,25592,5140,5213,10079,7697,12277,96051,60633,4844,22238,40899,18,22000,2018,Indiana,18_22000,Evansville
"Fishers city, Indiana",1600000US1823278,93790,78320,,,,,,,,,69208,49991,1262,3129,98168,18,23278,2018,Indiana,18_23278,Fishers
"Fort Wayne city, Indiana",1600000US1825000,264170,185587,170791,2530,41091,7090,13445,22612,18095,30804,204626,137173,7301,40823,48658,18,25000,2018,Indiana,18_25000,Fort Wayne
"Gary city, Indiana",1600000US1827000,69602,10393,46914,549,17300,2947,2935,6843,2930,3917,54403,27897,2727,19063,33333,18,27000,2018,Indiana,18_27000,Gary
"Hammond city, Indiana",1600000US1831000,75806,37786,48142,993,17226,3399,3455,6075,2729,3736,58861,33151,1586,20617,41568,18,31000,2018,Indiana,18_31000,Hammond
"Indianapolis city (balance), Indiana",1600000US1836003,864131,511051,570145,10267,133871,23972,37056,72718,43013,119101,674087,450288,26646,139574,47678,18,36003,2018,Indiana,18_36003,Indianapolis city (balance)
"Lafayette city, Indiana",1600000US1840788,72393,60658,46739,465,12824,2443,4115,5631,3169,9026,57538,38708,2042,10388,44571,18,40788,2018,Indiana,18_40788,Lafayette
"Muncie city, Indiana",1600000US1851876,70178,59161,37070,203,8981,2257,2645,5675,3779,4517,57337,33193,2249,19796,32565,18,51876,2018,Indiana,18_51876,Muncie
"Noblesville city, Indiana",1600000US1854180,66358,,,,,,,,,,50722,38347,1024,,84388,18,54180,2018,Indiana,18_54180,Noblesville
"South Bend city, Indiana",1600000US1871000,103869,63862,63957,1127,15764,3740,4110,8346,5545,9972,76577,50066,1714,20194,40532,18,71000,2018,Indiana,18_71000,South Bend
"Ames city, Iowa",1600000US1901855,67155,53514,,,,,,,,,60238,39270,2769,14448,49830,19,01855,2018,Iowa,19_01855,Ames
"Ankeny city, Iowa",1600000US1902305,65282,,,,,,,,,,51375,39604,1332,4504,74701,19,02305,2018,Iowa,19_02305,Ankeny
"Cedar Rapids city, Iowa",1600000US1912000,133169,108489,89692,1185,19720,3932,6540,13806,10989,20308,107257,74477,2019,15627,59603,19,12000,2018,Iowa,19_12000,Cedar Rapids
"Davenport city, Iowa",1600000US1919000,102080,82594,68395,313,19386,4625,4108,9872,6161,12894,81324,54185,3063,15952,47337,19,19000,2018,Iowa,19_19000,Davenport
"Des Moines city, Iowa",1600000US1921000,216993,162746,139381,3893,33086,6042,10799,17486,13887,26782,168705,118701,6118,32267,53336,19,21000,2018,Iowa,19_21000,Des Moines
"Iowa City city, Iowa",1600000US1938595,76291,57333,41344,222,5478,458,2331,4337,3536,10323,66027,44196,2118,17776,46053,19,38595,2018,Iowa,19_38595,Iowa City
"Sioux City city, Iowa",1600000US1973335,82762,70635,53031,757,14229,2651,4471,7445,5900,8086,62071,43264,2375,12555,60682,19,73335,2018,Iowa,19_73335,Sioux City
"Waterloo city, Iowa",1600000US1982425,67797,51040,45555,786,12748,2928,3397,6605,4249,6929,54908,35419,1938,12900,45646,19,82425,2018,Iowa,19_82425,Waterloo
"West Des Moines city, Iowa",1600000US1983910,67127,56848,,,,,,,,,53522,39037,1366,5725,72917,19,83910,2018,Iowa,19_83910,West Des Moines
"Kansas City city, Kansas",1600000US2036000,154361,86325,97669,3499,23899,6156,6287,14012,6547,11553,115187,75438,5301,27495,46291,20,36000,2018,Kansas,20_36000,Kansas City
"Lawrence city, Kansas",1600000US2038900,97293,75876,,,,,,,,,83046,59451,2794,18934,50985,20,38900,2018,Kansas,20_38900,Lawrence
"Olathe city, Kansas",1600000US2052575,139588,119391,88636,257,12780,1547,4790,10962,7301,31447,103309,77036,2380,9914,86082,20,52575,2018,Kansas,20_52575,Olathe
"Overland Park city, Kansas",1600000US2053775,192525,157046,135773,473,16223,1725,7459,15207,9325,49417,156622,109693,2946,7217,83717,20,53775,2018,Kansas,20_53775,Overland Park
"Shawnee city, Kansas",1600000US2064500,65844,58153,42999,452,5921,1119,2348,6505,5474,12579,50489,37539,1151,2965,82874,20,64500,2018,Kansas,20_64500,Shawnee
"Topeka city, Kansas",1600000US2071000,125908,99263,85961,1716,21295,5428,6234,14033,5533,15500,100895,62265,3116,20895,44338,20,71000,2018,Kansas,20_71000,Topeka
"Wichita city, Kansas",1600000US2079000,389259,285945,254370,3761,49461,13964,19710,37500,22368,48447,301252,200300,9777,58059,51051,20,79000,2018,Kansas,20_79000,Wichita
"Bowling Green city, Kentucky",1600000US2108902,68393,51701,38071,612,6984,2125,2365,5823,3823,6180,55675,38439,1776,16830,38665,21,08902,2018,Kentucky,21_08902,Bowling Green
"Lexington-Fayette urban county, Kentucky",1600000US2146027,323780,240762,211199,2187,30412,7305,11318,32012,17242,51852,262377,181348,9049,45230,54896,21,46027,2018,Kentucky,21_46027,Lexington-Fayette urban county
"Louisville/Jefferson County metro government (balance), Kentucky",1600000US2148006,620149,426337,424902,5309,96116,22132,25474,67960,37194,76102,496867,320933,18025,104213,52303,21,48006,2018,Kentucky,21_48006,Louisville/Jefferson County metro government (balance)
"Baton Rouge city, Louisiana",1600000US2205000,221606,84217,137576,1688,31290,4950,6442,22782,5004,28689,179377,114376,8254,47116,42470,22,05000,2018,Louisiana,22_05000,Baton Rouge
"Bossier City city, Louisiana",1600000US2208920,68222,43410,44346,243,11426,1620,2398,6993,4339,8296,54252,35157,1565,10651,52078,22,08920,2018,Louisiana,22_08920,Bossier City
"Kenner city, Louisiana",1600000US2239475,66656,44922,47068,759,12795,2081,1974,7545,3483,8639,53479,34170,1659,12554,47317,22,39475,2018,Louisiana,22_39475,Kenner
"Lafayette city, Louisiana",1600000US2240735,126149,80665,84044,658,20933,2694,4200,13812,3440,20667,102533,64440,3921,23976,52246,22,40735,2018,Louisiana,22_40735,Lafayette
"Lake Charles city, Louisiana",1600000US2241155,77999,,51901,377,13892,2193,2482,10044,2855,10277,61360,35776,2260,15569,43546,22,41155,2018,Louisiana,22_41155,Lake Charles
"Metairie CDP, Louisiana",1600000US2250115,141114,112695,104887,1288,24117,4396,5306,18252,5622,25620,116727,76839,2320,16182,55960,22,50115,2018,Louisiana,22_50115,Metairie CDP
"New Orleans city, Louisiana",1600000US2255000,391006,133177,279271,2266,57008,8431,12272,47066,15053,59951,320960,191644,15024,89130,38423,22,55000,2018,Louisiana,22_55000,New Orleans
"Shreveport city, Louisiana",1600000US2270000,189149,72375,127707,1264,36767,7922,6318,19038,13292,17700,148579,87877,6115,44943,36338,22,70000,2018,Louisiana,22_70000,Shreveport
"Portland city, Maine",1600000US2360545,66420,58143,51652,463,6091,914,2168,7200,3288,18302,56958,41664,686,8264,62536,23,60545,2018,Maine,23_60545,Portland
"Baltimore city, Maryland",1600000US2404000,602495,183276,421499,5872,101646,21793,23768,54355,20686,69862,491977,307604,20745,107073,51000,24,04000,2018,Maryland,24_04000,Baltimore
"Columbia CDP, Maryland",1600000US2419125,106772,59665,,,,,,,,,85978,60168,1469,7085,103246,24,19125,2018,Maryland,24_19125,Columbia CDP
"Ellicott City CDP, Maryland",1600000US2426000,72689,41501,,,,,,,,,56269,39371,1324,3627,131394,24,26000,2018,Maryland,24_26000,Ellicott City CDP
"Frederick city, Maryland",1600000US2430325,72152,54106,49085,609,9470,1330,3017,4907,3874,11676,56452,39085,1597,8164,75020,24,30325,2018,Maryland,24_30325,Frederick
"Gaithersburg city, Maryland",1600000US2431175,68294,30190,46245,1702,5085,369,1651,6257,3340,13140,53742,39108,2123,8206,76982,24,31175,2018,Maryland,24_31175,Gaithersburg
"Germantown CDP, Maryland",1600000US2432025,81399,41120,56202,1258,7711,1304,3743,8053,5013,13055,63254,49016,1830,6941,91824,24,32025,2018,Maryland,24_32025,Germantown CDP
"Glen Burnie CDP, Maryland",1600000US2432650,65987,42992,45586,537,12125,1258,3652,7821,3065,7636,54350,39055,1084,5843,70157,24,32650,2018,Maryland,24_32650,Glen Burnie CDP
"Rockville city, Maryland",1600000US2467675,68252,34685,49550,503,4061,485,1846,5478,1606,13794,55831,40655,1098,4522,114044,24,67675,2018,Maryland,24_67675,Rockville
"Silver Spring CDP, Maryland",1600000US2472450,81816,33608,58356,1265,6304,605,1608,5250,3306,14474,65248,51146,1734,9175,81992,24,72450,2018,Maryland,24_72450,Silver Spring CDP
"Waldorf CDP, Maryland",1600000US2481175,78591,18644,,,,,,,,,61551,44722,2437,4143,86777,24,81175,2018,Maryland,24_81175,Waldorf CDP
"Boston city, Massachusetts",1600000US2507000,695926,365340,482494,13494,70281,12852,14565,51121,22499,132924,596657,411423,28224,118946,71834,25,07000,2018,Massachusetts,25_07000,Boston
"Brockton city, Massachusetts",1600000US2509000,95781,33789,63752,2441,17176,2282,3884,9381,6520,9140,74472,51535,3362,9045,63043,25,09000,2018,Massachusetts,25_09000,Brockton
"Cambridge city, Massachusetts",1600000US2511000,118967,79472,79944,478,4135,975,982,3876,1818,23197,106409,73864,2750,11140,106363,25,11000,2018,Massachusetts,25_11000,Cambridge
"Fall River city, Massachusetts",1600000US2523000,89662,74561,62706,2225,17566,3208,3908,7707,4770,7122,71298,42426,2433,14200,44957,25,23000,2018,Massachusetts,25_23000,Fall River
"Framingham city, Massachusetts",1600000US2524960,73123,49120,54495,675,11753,730,3319,4967,3061,15493,62015,47089,2923,3785,82698,25,24960,2018,Massachusetts,25_24960,Framingham
"Lawrence city, Massachusetts",1600000US2534550,80370,26489,48781,1597,12695,1645,2835,7519,2947,3224,59386,41001,4844,19098,41356,25,34550,2018,Massachusetts,25_34550,Lawrence
"Lowell city, Massachusetts",1600000US2537000,111666,67227,69669,3611,19249,3425,6030,6159,4137,11331,89274,59685,4091,19256,59867,25,37000,2018,Massachusetts,25_37000,Lowell
